Collection Number,Passed Inspection,Note,Title,URL Title,Publisher,Article Text,Article Image,AMP Image Version,Image Description,Browse Link
1087,false,1087.php has been marked for review (Null partner) (Null browse link),Pacific Studies,PacificStudies,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%Pacific Studies is published quarterly by The Pacific Institute%comma% Brigham Young University Hawai'i. The Pacific Institute assists the University in meeting its cultural and educational goals by undertaking a program of teaching%comma% research%comma% and publication.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/PacificStudies/id/1233" target="_blank">Vol. 11 No. 1 Pacific Studies<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:16px">This collection is no longer available in Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/landingpage/collection/PacificStudies" target="_blank">http://contentdm.lib.byu.edu/cdm/landingpage/collection/PacificStudies </a></p>,<img src="../images/collection_images/collection1087.jpg" alt="Vol. 11 No. 1 Pacific Studies" width="306" height="437" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1087.jpg" alt="Vol. 11 No. 1 Pacific Studies" width="306" height="437" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/PacificStudies/id/1233" target="_blank">Vol. 11 No. 1 Pacific Studies<br> </a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/landingpage/collection/PacificStudies" target="_blank">http://contentdm.lib.byu.edu/cdm/landingpage/collection/PacificStudies </a>,,
1091,false,1091.php has been marked for review (Null image) (Null image description) (Null Article Text),Sudan Studies,SudanStudies,Published by <a href="../partners/102.php">Brigham Young University - Harold B. Lee Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Sudan+Studies">Browse all records in Sudan Studies</a></p>,
1096,false,1096.php has been marked for review (Null image) (Null image description) (Null Article Text),Brigham Young University-Idaho Flash,BrighamYoungUniversityIdahoFlash,Published by <a href="../partners/108.php">Brigham Young University-Idaho</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Brigham+Young+University-Idaho+Flash">Browse all records in Brigham Young University-Idaho Flash</a></p>,
1146,false,1146.php has been marked for review (Null image) (Null image description),Utah Governors Executive Orders and Proclamations,UtahGovernorsExecutiveOrdersandProclamations,Published by <a href="../partners/107.php">Utah State Archives</a>,<p></p>%newline%<p>This series contains the official copies of executive orders and proclamations issued by the Governor. Executive orders afford a method for reacting to and preparing a plan of action for sudden problems or changing events which require the Governor's prompt attention. Their issuance provides an established conventional means of responding to these events. Through the executive order%comma% the Governor also creates mechanisms to implement the regulations and establish organizations to perform activities of the government in some specific way. Proclamations are more broad statements of position. They provide a formal means to report to the general public that the Governor has responded to an event in a specific manner. Frequently proclamations are issued to pay tribute or to express formal observance of holidays or other noteworthy occasions.</p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Governors+Executive+Orders+and+Proclamations">Browse all records in Utah Governors Executive Orders and Proclamations</a></p>,
1166,false,1166.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah Historical Statutes,UtahHistoricalStatutes,Published by <a href="../partners/132.php">University of Utah - James E. Faust Law Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Historical+Statutes">Browse all records in Utah Historical Statutes</a></p>,
1189,false,1189.php has been marked for review (Null image description),Utah Health Sciences Library Consortium,UtahHealthSciencesLibraryConsortium,Published by <a href="../partners/110.php">University of Utah - Spencer S. Eccles Health Sciences Library</a>,<p></p>%newline%<p>Various documents outlining the history and proceedings of the Utah Health Sciences Library Consortium. The mission of the Utah Health Sciences Library Consortium is to improve health care through the development and fostering of a cooperative network of health sciences libraries in Utah.</p>%newline%<p><strong></strong></p>%newline%</p>,<img src="../images/collection_images/collection1189.jpg" alt="Utah Health Sciences Library Consortium" width="300" height="188" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1189.jpg" alt="Utah Health Sciences Library Consortium" width="300" height="188" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Health+Sciences+Library+Consortium">Browse all records in Utah Health Sciences Library Consortium</a></p>,
1223,false,1223.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah Board of Regents,UtahBoardofRegents,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Board+of+Regents">Browse all records in Utah Board of Regents</a></p>,
1224,false,1224.php has been marked for review (Null image) (Null image description) (Null Article Text),U-News and Views,UNewsandViews,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=U-News+and+Views">Browse all records in U-News and Views</a></p>,
1234,false,1234.php has been marked for review (Null partner) (Null browse link),Young Woman's Journal,YoungWomansJournal,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%Founding editor Susa Young Gates emphasized the Young Woman's Journal (1889-1929) "as an outlet for the literary gifts of the girl members...while representing the truths of the Gospel of Jesus Christ."</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/NCMP1820-1846/id/24280/rec/9" target="_blank">A compendium of the doctrines of the gospel<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:16px">This collection is no longer available in Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline%<p style="font-size:18px"><a href="http://lib.byu.edu/digital/mpntc/az/Y.php#young-journal">http://lib.byu.edu/digi tal/mpntc/az/Y.php#young-journal</a></p>,<img src="../images/collection_images/collection1234.jpg" alt="A compendium of the doctrines of the gospel" width="298" height="422" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1234.jpg" alt="A compendium of the doctrines of the gospel" width="298" height="422" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/compoundobject/collection/NCMP1820-1846/id/24280/rec/9" target="_blank">A compendium of the doctrines of the gospel<br> </a>%newline%<a href="http://lib.byu.edu/digital/mpntc/az/Y.php#young-journal">http://lib.byu.edu/digi tal/mpntc/az/Y.php#young-journal</a>,,
1238,false,1238.php has been marked for review (Null image) (Null image description) (Null Article Text),Polynesian Cultural Center Photo Collection%comma% 1961-1979,PolynesianCulturalCenterPhotoCollection19611979,Published by <a href="../partners/128.php">Brigham Young University-Hawaii</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Polynesian+Cultural+Center+Photo+Collection%comma%+1961-1979">Browse all records in Polynesian Cultural Center Photo Collection%comma% 1961-1979</a></p>,
1253,false,1253.php has been marked for review (Null image) (Null image description),University of Utah Encoded Archival Description (EAD) Finding Aids,UniversityofUtahEncodedArchivalDescriptionEADFindingAids,Published by <a href="../partners/101.php">University of Utah - J. Willard Marriott Library</a>,<p></p>%newline%<p>Finding aids describe the contents of collections from Manuscripts%comma% Multimedia Archives%comma% and University Archives. Use this search page to find EAD (Encoded Archival Description) versions of our Special Collections finding aids. While not all finding aids are posted on this database%comma% this is an excellent starting point for research.</p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=University+of+Utah+Encoded+Archival+Description+(EAD)+Finding+Aids">Browse all records in University of Utah Encoded Archival Description (EAD) Finding Aids</a></p>,
1255,false,1255.php has been marked for review (Null image description),Department of Heritage and Arts Encoded Archival Description (EAD) Finding Aids,DepartmentofHeritageandArtsEncodedArchivalDescriptionEADFindingAids,Published by <a href="../partners/119.php">Department of Heritage and Arts</a>,<p></p>%newline%<p>See the descriptions of what is in the manuscript and photo collections (also known as Finding Aids). Registers may include a full description of the collection%comma% a biographical or historical sketch of the creator of the collection%comma% a note on its scope and content%comma% and other information%comma% as well as an inventory of the contents of the collection. For some collections%comma% only an inventory is available.</p>%newline%<p></p>%newline%</p>,<img src="../images/collection_images/collection1255.jpg" alt="Utah State History" width="183" height="73" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1255.jpg" alt="Utah State History" width="183" height="73" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+State+Historical+Society+Encoded+Archival+Description+(EAD)+Finding+Aids">Browse all records in Department of Heritage and Arts Encoded Archival Description (EAD) Finding Aids</a></p>,
1256,false,1256.php has been marked for review (Null image description),Mountain West Digital Library - Collection: Brigham Young University Encoded Archival Description (EAD) Finding Aids,MountainWestDigitalLibraryCollectionBrighamYoungUniversityEncodedArchivalDescriptionEADFindingAids,Published by <a href="../partners/102.php">Brigham Young University - Harold B. Lee Library</a>,<p></p>%newline%<p>The Society of American Archivists glossary defines finding aids as:</p>%newline%<p>Finding aids typically have two components: an overview of the collection and a detailed inventory of the contents of the collection. The overview of the collection describes who created the materials%comma% the scope of the collection%comma% the arrangement of the collection%comma% and any access restrictions on the materials. The detailed inventory describes the contents of the collection at the series-level and the file or item-level. Finding aids are created to help researchers gain access to the materials.</p>%newline%</p>,<img src="../images/collection_images/collection1564.jpg" alt="BYU Logo" width="225" height="225" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1564.jpg" alt="BYU Logo" width="225" height="225" layout = "responsive"></amp-img>,,%newline%<a href="http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Brigham+Young+University+Finding+Aids">Browse all records in Brigham Young University Finding Aids collection</a></p>,
1267,false,1267.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah Division of State Archives Series Inventories,UtahDivisionofStateArchivesSeriesInventories,Published by <a href="../partners/107.php">Utah State Archives</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Division+of+State+Archives+Series+Inventories">Browse all records in Utah Division of State Archives Series Inventories</a></p>,
1276,false,1276.php has been marked for review (Null image description),Utah Valley University Student Theses Collection,UtahValleyUniversityStudentThesesCollection,Published by <a href="../partners/121.php">Utah Valley University Library</a>,<p></p>%newline%<p>A collection of student theses and projects on a wide variety of topics from many different fields. This collection includes Masters Theses. </p>%newline%<p><strong></strong></p>%newline%</p>,<img src="../images/collection_images/collection1276.jpg" alt="Utah Vally University" width="174" height="167" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1276.jpg" alt="Utah Vally University" width="174" height="167" layout = "responsive"></amp-img>,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+Valley+University+Student+Theses+Collection">Browse all records in Utah Valley University Student Theses Collection</a></p>,
1283,false,1283.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah State University Institutional Repository: Graduate Theses & Dissertations,UtahStateUniversityInstitutionalRepositoryGraduateTheses&Dissertations,Published by <a href="../partners/103.php">Utah State University - Merrill-Cazier Library</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+State+University+Institutional+Repository:+Graduate+Theses+&+Dissertations">Browse all records in Utah State University Institutional Repository: Graduate Theses & Dissertations</a></p>,
1287,false,1287.php has been marked for review (Null partner) (Null browse link),Brigham Young University Institutional Repository - Herbarium,BrighamYoungUniversityInstitutionalRepositoryHerbarium,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%The Herbarium Collection of ScholarsArchive is a collection of preserved plant specimens gathered from around the world (but particularly rich in samples from Utah and the Western United States). Each specimen is documented by the name of the species%comma% the date of the collection%comma% and the species' location. Photos are included for each specimen.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/singleitem/collection/HerbR/id/250/rec/34" target="_blank">Acer grandidentatum Nutt<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:18px"> This collection is no longer available in the Mountain West Digital Library but can be found in Brigham Young University's Digital Collection at </p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/search/collection/HerbR">http://contentdm.lib.byu.edu/cdm/search/collection/HerbR </a></p>,<img src="../images/collection_images/collection1287.jpg" alt="Acer grandidentatum Nutt" width="172" height="273" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1287.jpg" alt="Acer grandidentatum Nutt" width="172" height="273" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/singleitem/collection/HerbR/id/250/rec/34" target="_blank">Acer grandidentatum Nutt<br> </a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/search/collection/HerbR">http://contentdm.lib.byu.edu/cdm/search/collection/HerbR </a>,,
1288,false,1288.php has been marked for review (Null partner) (Null browse link),Brigham Young University Institutional Repository: Historic Clothing,BrighamYoungUniversityInstitutionalRepositoryHistoricClothing,Published by Brigham Young University - Harold B. Lee Library,</p>%newline%The Historical Clothing Collection of BYU's Department of Theatre and Media Arts features artifacts from the late eighteenth century through the 1990s.</p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/singleitem/collection/IRPoliSci/id/4184/rec/2663" target="_blank">Women's burgundy silk velvet jacket<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%<p style="font-size:18px"> This collection is no longer available in the Mountain West Digital Library but can be found in Brigham Young University's Digital Collections at </p>%newline% <a href="http://contentdm.lib.byu.edu/cdm/search/collection/IRPoliSci">http://contentdm.lib.byu.edu/cdm/search/collection/IRPoliSci </a></p>,<img src="../images/collection_images/collection1288.jpg" alt="	Women's burgundy silk velvet jacket" width="276" height="317" align= "right" style="max-width: 250px; height: auto; margin: 1%; display: block; ">,<amp-img src="../images/collection_images/collection1288.jpg" alt="	Women's burgundy silk velvet jacket" width="276" height="317" layout = "responsive"></amp-img>,<a href="http://contentdm.lib.byu.edu/cdm/singleitem/collection/IRPoliSci/id/4184/rec/2663" target="_blank">Women's burgundy silk velvet jacket<br> </a>%newline%<a href="http://contentdm.lib.byu.edu/cdm/search/collection/IRPoliSci">http://contentdm.lib.byu.edu/cdm/search/collection/IRPoliSci </a>,,
1297,false,1297.php has been marked for review (Null image) (Null image description) (Null Article Text),Provo (UT) Municipal Council and Commission Minutes,ProvoUTMunicipalCouncilandCommissionMinutes,Published by <a href="../partners/138.php">Provo (UT) City</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Provo+(UT)+Municipal+Council+and+Commission+Minutes">Browse all records in Provo (UT) Municipal Council and Commission Minutes</a></p>,
1299,false,1299.php has been marked for review (Null image) (Null image description) (Null Article Text),Utah American Indian Digital Archive: Oral Histories Transcripts,UtahAmericanIndianDigitalArchiveOralHistoriesTranscripts,Published by <a href="../partners/140.php">University of Utah - American West Center</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=Utah+American+Indian+Digital+Archive:+Oral+Histories+Transcripts">Browse all records in Utah American Indian Digital Archive: Oral Histories Transcripts</a></p>,
1318,false,1318.php has been marked for review (Null image) (Null image description) (Null Article Text),LDS Business College Yearbooks,LDSBusinessCollegeYearbooks,Published by <a href="../partners/144.php">LDS Business College</a>,<p></p>%newline%</p>,,,,%newline%<a href=" http://utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?tab=default_tab&mode=Advanced&scp.scps=scope:(mw)&vid=MWDL&indx=1&dum=true&srt=rank&frbg=&fn=search&ct=search&vl(1UI1)=exact&vl(35820410UI1)=lsr13&vl(freeText1)=LDS+Business+College+Yearbooks">Browse all records in LDS Business College Yearbooks</a></p>,
