Collection Number,Passed Inspection,Note,Title,Publisher,Article Text,Article Image,Image Height,Image Length,Image Description,,,,,,,,,,,
1007,TRUE,,Dialogue: A Journal of Mormon Thought,Dialogue Foundation,</p>%newline%Dialogue: A Journal of Mormon Thought publishes award winning%comma% peer-reviewed articles from Mormon scholars and writers on sensitive issues in LDS history and doctrine%comma% and topics in Science%comma% Religion%comma% and Politics. It maintains a level of editorial independence that distinguishes it as the premier scholarly journal in the emerging academic field of Mormon Studies.</p>%newline%,collection1007.jpg,273,172,Veiled Woman with her Child,,,,,,,,,,,
1008,TRUE,,Neuro-Ophthalmology: William F. Hoyt Collection,University of Utah - Spencer S. Eccles Health Sciences Library,</p>%newline%Part of the The Neuro-Ophthalmology Virtual Education Library</p>%newline%A discipline specific%comma% open access repository of digital materials (images%comma% video%comma% lectures%comma% articles and animations)%comma% to be used for educational and research purposes by health care professionals%comma% educators%comma% patients%comma% and students. </p>%newline%,collection1008.jpg,210,212,Buried drusen,,,,,,,,,,,
1009,TRUE,,Land Use-Transportation Scenario Planning,University of Utah - J. Willard Marriott Library,</p>%newline%Integrated land use-transportation scenario planning employs a range of possible future scenarios to facilitate public decision-making on land use policies and transportation investments. This collection includes summary documents from the leading scenario planning projects in U.S. metropolitan areas between 1988 and 2003.</p>%newline%,collection1009.jpg,296,337,Comprehensive Growth Policy Study,,,,,,,,,,,
1010,TRUE,,Westminster College Photograph Collection,Westminster College - Giovale Library,</p>%newline%These collections consist of digitized photographs relating to the history of Westminster College from its inception as the Salt Lake Collegiate Institute%comma% founded in 1875%comma% to the present. The collections also include material dealing with the early history of the Presbyterian Church in Utah and southern Idaho.</p>%newline%,collection1010.jpg,270,361,Westminster College Football Squad,,,,,,,,,,,
1011,TRUE,,Great Basin Association Photographs,Great Basin Association,</p>%newline%The Great Basin Association maintains this photo collection of Great Basin National Park. Located in Eastern Nevada%comma% the once-thought barren area is full of unique wildlife and geological formations. This collection contains a number of antiquated photos%comma% depicting early developments in the National Park%comma% as well as contemporary photos of its landscape and park facilities.</p>%newline%,collection1011.jpg,196,371,Entrance to Caves,,,,,,,,,,,
1012,TRUE,,Green River Launch Complex%comma% U.S. Air Force,Green River (UT),</p>%newline%The Green River Launch Complex sits near Green River%comma% a small community in central Utah. Built in 1964%comma% by the US Air Force%comma% the complex was used to test various missile and projectile weapons.</p>%newline%,collection1012.jpg,282,358,Bivouac Area at White Mesa near Blanding%comma% Utah, Black Mesa,,,,,,,,,,
1013,TRUE,,Harmonia Macrocosmica,University of Utah - J. Willard Marriott Library,</p>%newline%Harmonia Macrocosmica%comma% by Andreas Cellarius%comma% was first printed in 1660. The University of Utah copy is from the 1661 edition. Along with accompanying text in Latin%comma% Harmonia contains double-folio hand-painted color plates depicting cosmographic theories of astronomers such as Aratus (315 bce – 240 bce)%comma% Ptolemy (90 – 168)%comma% Nicolaus Copernicus (1473-1543)%comma% Tycho Brahe (1546-1601)%comma% and others.</p>%newline%,collection1013.jpg,370,233,Ptolemy's view of the universe,,,,,,,,,,,
1014,TRUE,,History of Shelley (ID),North Bingham County (ID) District Library,</p>%newline%Shelley%comma% Idaho%comma% is a town of about 4%comma%000 located in east-central Idaho. First settled late in the 1800s%comma% it was established as a town in 1904. This collection contains an assortment of pictures%comma% descriptions%comma% and articles that document the history of Shelley.</p>%newline%,collection1014.jpg,263,363,Shelley Public Library,,,,,,,,,,,
1015,TRUE,,John Wesley Powell Collection,University of Utah - J. Willard Marriott Library,</p>%newline%John Wesley Powell%comma% the iconic explorer of the Colorado River%comma% left the American southwest with a rich legacy. During his expeditions he compiled data and a number of sketches describing the landscape. This collection contains various writings and geographical publications to which Powell contributed.</p>%newline%,collection1015.jpg,449,320,Scientific American Supplement%comma% Vol. VI,,,,,,,,,,,
1016,TRUE,,Karl Bodmer Aquatint Collection,University of Utah - J. Willard Marriott Library,</p>%newline%Karl Bodmer created over 150 watercolors during the 1832 -1834 expedition through the American west by Prince Maximilian zu Wied. For more than a century%comma% Bodmer's aquatints have remained a major source of information regarding Plains Indian culture. These works of art were also instrumental in creating the romantic perceptions and misconceptions of these peoples%comma% which endure to this day in art%comma% film%comma% and literature.</p>%newline%,collection1016.jpg,275,349,Niagara Falls,,,,,,,,,,,
1017,TRUE,,Lessons: The Journal of the Center for Teaching and Learning Excellence,University of Utah - J. Willard Marriott Library,"</p>%newline%This collection contains 10 back issues of the Lessons journal%comma% beginning in 2001. The Center for Teaching & Learning Excellence (CTLE) was established at the University of Utah in the 1992 to ""be a resource for all teachers on campus%comma% a safe place for developing or improving teaching skills and responding to new demands of classes..."" Its journal%comma% Lessons%comma% contains articles and how-to instructions intended to enhance classroom environments.</p>%newline%",collection1017.jpg,413,319,Lessons Volume Eight Number 1 Fall 2006,,,,,,,,,,,
1019,TRUE,,Music Temple Visitors Register,University of Utah - J. Willard Marriott Library,"</p>%newline%A spectacular grotto in Glen Canyon of the Colorado River%comma% Music Temple was a popular stop for parties of tourists. As early as the 1930s someone began the tradition of leaving a metal box in the grotto where travelers could write their names on notebooks and pieces of paper%comma% many of which are a ""who's who"" of early river runners.</p>%newline%",collection1019.jpg,449,320,Music Temple Visitors Register 2,,,,,,,,,,,
1027,TRUE,,Tanner Trust Book Collection,University of Utah - J. Willard Marriott Library,</p>%newline%A collection of 14 books covering topics dealing with early Utah history and Mormon culture%comma% featuring the 1857 diary of Brigham Young.</p>%newline%,collection1027.jpg,449,320,A Biography of Ezra Thompson Clark,,,,,,,,,,,
1028,TRUE,,Topaz Museum Collection,Topaz Museum (Delta%comma% UT),</p>%newline%From 1942 to 1945%comma% over 100%comma%000 Japanese-Americans were interned in camps throughout the American West. Topaz Camp%comma% located near Delta%comma% Utah%comma% held around 8%comma%000 of these individuals. This collection contains an assortment of historical photos depicting the hardships met by these prisoners. </p>%newline%,collection1028.jpg,251,369,Students signing 1945 yearbooks,,,,,,,,,,,
1029,TRUE,,Uintah County Regional History Center Collection,Uintah County (UT) Library,<p></p>%newline%<p>The Regional History Center is dedicated to collecting%comma% preserving and making available biographies%comma% histories%comma% county records%comma% newspapers%comma% maps%comma% and photographs of the Uinta Basin Region. The Regional History Center is a one of a kind center in the state of Utah and the western states region. The Regional History Center has three photo collections. The Regional History Collection is made up of photos given to the center by various donors%comma% the Vernal Express Collection is photographs that were in the local newspaper%comma% and the Thorne Collection is a large collection from early photographer Leo Thorne.</p>%newline%</p>,collection1029.jpg,247,380,Ron Stewart along with many other children march in the Children's Day Parade,,,,,,,,,,,
1030,TRUE,,Thorne Photograph Collection,Uintah County (UT) Library,<p></p>%newline%<p>The Regional History Center is dedicated to collecting%comma% preserving and making available biographies%comma% histories%comma% county records%comma% newspapers%comma% maps%comma% and photographs of the Uinta Basin Region. The Regional History Center is a one of a kind center in the state of Utah and the western states region. The Regional History Center has three photo collections. The Regional History Collection is made up of photos given to the center by various donors%comma% the Vernal Express Collection is photographs that were in the local newspaper%comma% and the Thorne Collection is a large collection from early photographer Leo Thorne.</p>%newline%</p>,collection1030.jpg,221,386,Indian musicians play for the Bear Dance,,,,,,,,,,,
1031,TRUE,,Undergraduate Research Abstracts Journal,University of Utah - Undergraduate Research Opportunities Program,</p>%newline%This collection contains back issues of the Undergraduate Research Abstracts Journal. It contains student accounts of research performed while at the University of Utah. First published in 2001%comma% a volume has been released annually since. The journal has grown significantly in recent years.</p>%newline%,collection1031.jpg,429,317,University of Utah Undergraduate Research Abstracts%comma% Volume 7%comma% Spring 2007,,,,,,,,,,,
1032,TRUE,,University of Utah Archives Photograph Collection,University of Utah - J. Willard Marriott Library,</p>%newline%The University of Utah Photo Archives contain many thousands of photos spanning many topics.</p>%newline%,collection1032.jpg,468,321,Volleyball Fd 04 #043,,,,,,,,,,,
1033,TRUE,,Albert Tissandier Collection,University of Utah - Utah Museum of Fine Arts,</p>%newline%Images from Albert Tissandier's trips to North America during 1885 and 1886. Tissandier was born in France in 1839 and died in 1906. A French visitor to the American West in the 1880s%comma% he left a series of pencil drawings of still-recognizable locales in and near Utah. The Utah Museum of Fine Arts holds what may be the most complete collection of these appealing works.</p>%newline%,collection1033.jpg,245,347,1885 and 1886,,,,,,,,,,,
1034,TRUE,,Utah Ski Archives Newsletter,University of Utah - J. Willard Marriott Library,</p>%newline%This collection contains 25 back issues of the Utah Ski Archives Newsletter.The Ski Archives serves to find and preserve materials that help document the history of Utah and Inter-mountain skiing.</p>%newline%,collection1034.jpg,453,354,Utah Ski Archives Newsletter,,,,,,,,,,,
1035,TRUE,,Saga of the Sanpitch,Snow College Libraries,</p>%newline%This collection contains 30 volumes of stories and poems about early southern Utah pioneers.</p>%newline%,collection1035.jpg,419,286,Saga of the Sanpitch Vol 19,,,,,,,,,,,
1036,TRUE,,Salt Lake City Engineers Collection,Department of Heritage and Arts,</p>%newline%The Salt Lake City Engineers Photograph Collection provides an excellent look at how Salt Lake City developed between 1902 and 1932. The collection documents the construction of the infrastructure in Salt Lake City and surrounding areas%comma% including roads%comma% sewers%comma% irrigation systems%comma% curb and gutters%comma% street lighting%comma% street repairs%comma% comfort stations%comma% mills%comma% dams%comma% reservoirs%comma% bridges%comma% etc. </p>%newline%,collection1036.jpg,231,292,Mountain Dell Dam Construction,,,,,,,,,,,
1037,TRUE,,Civilian Conservation Corps in Utah,Department of Heritage and Arts,</p>%newline%The Civilian Conservation Corps (CCC)%comma% a New Deal program%comma% operated from 1933 until 1942. The CCC provided jobs and training to young men (primarily between the ages of 18 and 25) and made improvements on public land. Each of the 116 CCC camps established in Utah employed about 200 men. The CCC built campgrounds%comma% worked on erosion control%comma% fought forest fires%comma% planted trees%comma% and did many more projects. Many of these projects still benefit Americans today.</p>%newline%,collection1037.jpg,320,238,USHS_PR_Page 22Provo River,,,,,,,,,,,
1038,TRUE,,Department of Heritage and Arts Classified Photograph Collection,Department of Heritage and Arts,</p>%newline%A self-indexing%comma% self-service%comma% collection of the best photographs from the Society's collections. Consists of mounted prints made from original photographs taken from other collections%comma% plus some originals.</p>%newline%,collection1038.jpg,255,324,Union Pacific Railroad P. 60,,,,,,,,,,,
1039,TRUE,,Utah Governor's Olympic Collection,Department of Heritage and Arts,</p>%newline%Five talented photojournalists shot thousands of photographs documenting the Salt Lake 2002 Olympic Winter Games. The photographs capture the Games from the vantage point of the Utah Governor's Office and the activities of Governor Michael Leavitt and Lt. Governor Olene Walker. The Governor and Lt. Governor met with President George W. Bush%comma% members of his cabinet%comma% representatives and athletes from 77 countries%comma% guests of state%comma% and the people of Utah. </p>%newline%,collection1039.jpg,215,325,Torch Celebration Fireworks,,,,,,,,,,,
1040,TRUE,,Shipler Commercial Photographers,Department of Heritage and Arts,</p>%newline%The Shiplers had a photography business%comma% but they also loved to take photographs of their own interests%comma% including sports%comma% travel%comma% and such leisure activities as fishing%comma% biking%comma% and auto racing. Most of these images were digitized through a grant from the National Endowment for the Humanities%comma% and some through an LSTA grant from the Utah State Library Division.</p>%newline%,collection1040.jpg,215,270,Accident at Capitol Building,,,,,,,,,,,
1041,TRUE,,Western Waters: Book Collection,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1041.jpg,400,252,Water Rights Law in the Nineteen Western States Volume II,,,,,,,,,,,
1042,TRUE,,Western Waters: Diary Collection,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1042.jpg,342,265,Diary of the Galloway/Stone Expedition,,,,,,,,,,,
1043,TRUE,,Western Waters: Documents,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1043.jpg,423,300,Upper Colorado Region Comprehensive Framework Study,,,,,,,,,,,
1044,TRUE,,Western Waters: Electronic Resources,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1044.jpg,484,375,Water Quality in South-Central Texas,,,,,,,,,,,
1045,TRUE,,Western Waters: Treaties and Compacts,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1045.jpg,360,270,Interstate Compacts: A Compilation of Articles from Various Sources,,,,,,,,,,,
1046,TRUE,,Western Waters: Photograph Collection,University of Utah - J. Willard Marriott Library,</p>%newline%The Western Waters Digital Library (WWDL) provides free public access to digital collections of significant primary and secondary resources on water in the western United States. These collections have been made available by research libraries belonging to the Greater Western Library Alliance (GWLA) and other academic library partners. The WWDL is a valuable resource for researchers%comma% policy makers%comma% scholars%comma% Native American tribes%comma% professionals working in various fields%comma% and others interested in contemporary and historic water issues. </p>%newline%,collection1046.jpg,239,351,Galloway-Stone Expedition Photographs,,,,,,,,,,,
1047,TRUE,,Vernal (UT) Express Photograph Collection,Uintah County (UT) Library,<p></p>%newline%<p>The Regional History Center is dedicated to collecting%comma% preserving and making available biographies%comma% histories%comma% county records%comma% newspapers%comma% maps%comma% and photographs of the Uinta Basin Region. The Regional History Center is a one of a kind center in the state of Utah and the western states region. The Regional History Center has three photo collections. The Regional History Collection is made up of photos given to the center by various donors%comma% the Vernal Express Collection is photographs that were in the local newspaper%comma% and the Thorne Collection is a large collection from early photographer Leo Thorne.</p>%newline%</p>,collection1047.jpg,278,395,Buildings and equipment display evidence of a once-active Dyer Mine operation,,,,,,,,,,,
1048,TRUE,,Neuro-Ophthalmology: AAO-NANOS Clinical Collection,University of Utah - Spencer S. Eccles Health Sciences Library,</p>%newline%Part of the The Neuro-Ophthalmology Virtual Education Library</p>%newline%A discipline specific%comma% open access repository of digital materials (images%comma% video%comma% lectures%comma% articles and animations)%comma% to be used for educational and research purposes by health care professionals%comma% educators%comma% patients%comma% and students. </p>%newline%,collection1048.jpg,168,202,Neuro-Ophthalmic Consequences of Therapy,,,,,,,,,,,
1049,TRUE,,Neurology/Neuro-Ophthalmology: Shirley H. Wray Collection,University of Utah - Spencer S. Eccles Health Sciences Library,</p>%newline%Part of the The Neuro-Ophthalmology Virtual Education Library</p>%newline%A discipline specific%comma% open access repository of digital materials (images%comma% video%comma% lectures%comma% articles and animations)%comma% to be used for educational and research purposes by health care professionals%comma% educators%comma% patients%comma% and students. </p>%newline%,collection1049.jpg,192,258,MS Time Lapse MRI,,,,,,,,,,,
1050,TRUE,,Frank Lloyd Wright: Wasmuth Portfolio,University of Utah - J. Willard Marriott Library,"</p>%newline%The Wasmuth Portfolio was a collaborative effort between Frank Lloyd Wright and Ernst Wasmuth%comma% a German publisher. It is a complete folio of Wright's work to date%comma% and was published in 1910-11. The collection of Wright's houses and commercial buildings received far more attention and praise in Europe than in the United States. Contemporary architects called it ""the most important book of the century.""</p>%newline%",collection1050.jpg,449,320,Studies and Executed Buildings,,,,,,,,,,,
1051,TRUE,,Utah 2002 Olympic Legacy Collection,Department of Heritage and Arts,</p>%newline%Utah State History collected and preserved many of these artifacts and other historical materials as a legacy of the Games. The collection is a permanent record for future generations to enjoy. Contributions came from state agencies%comma% corporations%comma% Salt Lake City%comma% and residents. The collection also includes oral histories and photographs from people who participated in or witnessed Games' events. </p>%newline%,collection1051.jpg,320,232,BRONZE SCULPTURE%comma% SKATER BY DENNIS SMITH,,,,,,,,,,,
1053,TRUE,,Benson Institute Theses,Brigham Young University - Harold B. Lee Library,</p>%newline%Electronic theses sponsored or assisted by the Benson Institute at BYU.</p>%newline%,collection1053.jpg,330,263,Deteccion de anticuerpos contra Brucella abortus en bovinos,,,,,,,,,,,
1054,TRUE,,Trails of Hope: Overland Biographies 1846-1869,Brigham Young University - Harold B. Lee Library,</p>%newline%Trails of Hope: Overland Diaries and Letters%comma% 1846–1869 is a collection of the original writings of 49 voyagers on the Mormon%comma% California%comma% Oregon%comma% and Montana trails who wrote while traveling on the trail. Some diarists speak with uncommon eloquence and others with maddening brevity%comma% while telling their stories of persistence and pain%comma% birth and death%comma% God and gold%comma% dust and debris%comma% bugs and buffalo%comma% love and laughter%comma% and trail tedium. Accompanying the original diary images and their searchable transcripts are 43 contemporary maps, seven trail guides, 82 photographs%comma% watercolors and art sketches, four essays on the Mormon and California trails%comma% maps and trail guides, suggested readings for further discovery, and brief biographies of 45 of the 49 diarists.</p>%newline%,collection1054.jpg,112,381,Fairbanks%comma% John Boylston 1817–1875,,,,,,
1055,TRUE,,Brigham Young University-Idaho Campus,Brigham Young University-Idaho,</p>%newline%Historically significant photographs of students%comma% faculty and buildings at BYU Idaho</p>%newline%,collection1055.jpg,252,352,Girl in flood water,,,,,,,,,,,
1056,TRUE,1056.php has been marked for review (Null image) (Null image description) (Null Article Text),Brigham Young University-Idaho Oral Histories,Brigham Young University-Idaho,<p></p>%newline%</p>,collection1056.jpg,,,Brigham Young University-Idaho,,,,,,,,,,,
1057,TRUE,1057.php has been marked for review (Null image) (Null image description) (Null Article Text),Brigham Young University-Idaho Student Rays,Brigham Young University-Idaho,<p></p>%newline%</p>,collection1057.jpg,,,The Scroll newspaper has been in print since 1905%comma% when BYU-Idaho was known as the Ricks Academy%comma% a locally run school with a newly-developed high school program. At the time this newspaper was known as the “Student Rays%comma%” and was printed monthly. In 1933 the name of the newspaper changed to “The Purple Flash.”,,,,,,,,,,,
1058,TRUE,,Brigham Young University Studies,Brigham Young University - Harold B. Lee Library,</p>%newline%BYU Studies is dedicated to publishing scholarly religious literature in the form of books%comma% journals%comma% and dissertations that is qualified%comma% significant%comma% and inspiring. We want to share these publications to help promote faith%comma% continued learning%comma% and further interest in our LDS history with those in the world who have a positive interest in this work.</p>%newline%,collection1058.jpg,273,172,Vol. 035 No. 4 BYU Studies (1995-1996),,,,,,,,,,,
1059,TRUE,,Charles R. Savage Photographs 1,Brigham Young University - Harold B. Lee Library,"</p>%newline%This collection is #1 of 2 collections. For the rest of the items%comma% see <a href=""CharlesRSavagePhotographs2.php"">Charles R. Savage Photographs 2</a></p>%newline%Over 1%comma%000 images from one of the foremost 19th century landscape photographers of the western United States. The collection includes portraits%comma% many of prominent Mormon leaders; views of Utah and the west; mining operations; and some Native American portraits.</p>%newline% <a href=""http://contentdm.lib.byu.edu/cdm/singleitem/collection/Savage/id/1323"" target=""_blank"">Church Buttes<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%</p>",collection1059.jpg,290,342,Charles R. Savage Photographs 2,,,,,,,,,,,
1060,TRUE,,Charles R. Savage Photographs 2,Brigham Young University - Harold B. Lee Library,"</p>%newline%This collection is #2 of 2 collections. For the rest of the items%comma% see <a href=""CharlesRSavagePhotographs1.php"">Charles R. Savage Photographs 1</a></p>%newline%Over 1%comma%000 images from one of the foremost 19th century landscape photographers of the western United States. The collection includes portraits%comma% many of prominent Mormon leaders; views of Utah and the west; mining operations; and some Native American portraits.</p>%newline% <a href=""http://contentdm.lib.byu.edu/cdm/singleitem/collection/Savage2/id/1433"" target=""_blank"">Brigham Young<br> </a>Brigham Young University - Harold B. Lee Library</p>%newline%</p>",collection1060.jpg,273,172,Charles R. Savage Photographs 1,,,,,,,,,,,
1061,TRUE,,Children's Book and Play Review,Brigham Young University - Harold B. Lee Library,</p>%newline%Produced by the HBLL%comma% Department of Teacher Education and Department of Theatre and Media Arts.</p>%newline%,collection1061.jpg,199,380,The Annotated Alice: The Definitive [book review],,,,,,,,,,,
1062,TRUE,,Civilization Hamblin,Brigham Young University - Harold B. Lee Library,</p>%newline%The Civilization collection includes 564 images of photographs%comma% sculptures%comma% audiovisual%comma% and paintings spanning from 200 BC to the Renaissance era. Some of the most notable objects include%comma% Albrect Duerer's Apollo Belvedere%comma% Eugene Delacroix's Dante and Virgil%comma% and Pablo Picasso's portrait of Gertrude Stein.</p>%newline%,collection1062.jpg,301,337,Adoration of the Magi,,,,,,,,,,,
1063,TRUE,,Civilization Learning Object Collection,Brigham Young University - Harold B. Lee Library,</p>%newline%The Civilization collection includes 564 images of photographs%comma% sculptures%comma% audiovisual%comma% and paintings spanning from 200 BC to the Renaissance era. Some of the most notable objects include%comma% Albrect Duerer's Apollo Belvedere%comma% Eugene Delacroix's Dante and Virgil%comma% and Pablo Picasso's portrait of Gertrude Stein. The collection was a joint project starting in 2005 between the Harold B. Lee Library%comma% the Department of Humanities%comma% the Department of History%comma% and the Center for Instructional Design. </p>%newline%,collection1063.jpg,337,335,Alexander the Great Coin,,,,,,,,,,,
1064,TRUE,,Trails of Hope: Overland Diaries and Letters 1846-1869,Brigham Young University - Harold B. Lee Library,</p>%newline%Trails of Hope: Overland Diaries and Letters%comma% 1846–1869 is a collection of the original writings of 49 voyagers on the Mormon%comma% California%comma% Oregon%comma% and Montana trails who wrote while traveling on the trail. Some diarists speak with uncommon eloquence and others with maddening brevity%comma% while telling their stories of persistence and pain%comma% birth and death%comma% God and gold%comma% dust and debris%comma% bugs and buffalo%comma% love and laughter%comma% and trail tedium. Accompanying the original diary images and their searchable transcripts are 43 contemporary maps, seven trail guides, 82 photographs%comma% watercolors and art sketches, four essays on the Mormon and California trails%comma% maps and trail guides, suggested readings for further discovery, and brief biographies of 45 of the 49 diarists.</p>%newline%,collection1064.jpg,328,354,Grantham%comma% William,,,,,,
1065,TRUE,,Edith Irvine,Brigham Young University - Harold B. Lee Library,</p>%newline%293 photographs of California%comma% especially stunning are her 1906 San Francisco earthquake images%comma% with other important California images from the Electra Power Project (1898-1902)%comma% Mokelumne Hill and Yosemite National Park.</p>%newline%,collection1065.jpg,337,335,The burned Tree,,,,,,,,,,,
1066,TRUE,,Eisenhower Communiques,Brigham Young University - Harold B. Lee Library,</p>%newline%These communiqués were designed mainly as a guide to correspondents covering battlefront activities%comma% though they also served to keep various branches of the Allied forces informed and coordinated. (They were not secret or confidential.) The reports do not describe the local horror and suffering from bombs and bullets but provide an overall%comma% almost businesslike%comma% account of the Allied advance across France%comma% the Netherlands%comma% and Germany</p>%newline%,collection1066.jpg,224,376,113-145%comma% August 1944,,,,,,,,,,,
1067,TRUE,,Brigham Young University Theses and Dissertations,Brigham Young University - Harold B. Lee Library,</p>%newline%Electronic versions of works submitted to the BYU School of Graduate Studies.</p>%newline%,collection1067.jpg,388,203,Resurrecting Lope's Autos,,,,,,,,,,,
1068,TRUE,,George Edward Anderson Photographs,Brigham Young University - Harold B. Lee Library,</p>%newline%14%comma%020 images taken ca. 1878-1928%comma% which includes studio and environmental portraits%comma% mostly of Utah residents, Utah railroad and mining history (including the 1900 Scofield mine disaster), and Mormon (LDS) Church historic sites.</p>%newline%,collection1068.jpg,337,335,Great Elm on Dairy Hill,,,,,,,,,
1069,TRUE,1069.php has been marked for review (Null image) (Null Article Text),Historic Ricks College Viking Scroll 1,Brigham Young University-Idaho,</p>%newline%,collection1069.jpg,,,Historic Ricks College Viking Scroll 2,,,,,,,,,,,
